poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
89373,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,11/3/24,11/4/24,,,,,,,216464,875.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8759,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,45.9
89373,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,11/3/24,11/4/24,,,,,,,216464,875.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8759,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,51.0
89373,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,11/3/24,11/4/24,,,,,,,216465,875.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8759,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,46.5
89373,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,11/3/24,11/4/24,,,,,,,216465,875.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8759,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,51.6
89374,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,11/3/24,11/4/24,,,,,,,216466,1112.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8781,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,48.2
89374,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,11/3/24,11/4/24,,,,,,,216466,1112.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8781,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,48.2
89374,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,11/3/24,11/4/24,,,,,,,216467,1112.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8781,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,48.3
89374,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,11/3/24,11/4/24,,,,,,,216467,1112.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8781,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,49.9
89375,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,,,,,,216468,1113.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,47.8
89375,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,,,,,,216468,1113.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,49.6
